start,end,please_select_which_group_the_respondent_belongs_to,please_select_which_group_the_respondent_belongs_to_local_community,please_select_which_group_the_respondent_belongs_to_local_government,please_select_which_group_the_respondent_belongs_to_national_government,please_select_which_group_the_respondent_belongs_to_regulator,please_select_which_group_the_respondent_belongs_to_ngo_civil_society,please_select_which_group_the_respondent_belongs_to_utility_provider,please_select_which_group_the_respondent_belongs_to_other_please_specify,other_specify_11,how_was_the_respondent_affected_by_the_construction_of_the_dam,other_specify_13,do_you_understand_the_purpose_of_our_research,do_you_consent_to_participating_in_our_research,how_important_is_the_river_for_you,how_do_you_use_the_river,drinking_water_18,irrigation_19,washing_and_bathing,fishing_for_consumption,fishing_to_sell,tourism,cultural_significance_24,transport,prevent_climate_change_26,protect_biodiversity_27,how_important_are_forests_for_you,how_do_you_use_the_forest,firewood,collecting_herbs_medicinal_plants,food_animal,food_fruits,cultural_significance_34,construction,livestock_grazing,agriculture,prevent_climate_change_38,protect_biodiversity_39,have_you_received_any_financial_compensation_following_construction_of_the_dam,do_you_think_you_should_have_been_compensated_following_construction_of_the_dam,how_did_will_you_receive_this_compensation,are_you_happy_with_the_amount_of_compensation,are_you_happy_with_the_timing_of_compensation,do_you_have_access_to_electricity,do_you_receive_any_of_these_services_from_the_dam,electricity,irrigation_48,drinking_water_49,employment,how_do_you_feel_about_the_benefits_you_receive_from_the_dam,has_any_land_that_you_own_or_rent_been_impacted_by_the_dam,when_did_you_hear_about_the_construction_of_the_dam,did_you_have_the_opportunity_to_participate_in_decision_making,how_did_you_participate_in_decision_making,how_did_you_participate_in_decision_making_other_specify,do_you_feel_that_decision_makers_listened_to_you,have_you_noticed_a_change_in_the_environment_around_you_following_the_construction_of_the_dam,have_you_noticed_a_change_in_the_amount_of_wildlife_around_you_following_the_construction_of_the_dam,dam_development_has_fairly_balanced_the_needs_for_society_biodiversity_conservation_and_energy_generation_do_you,how_important_are_the_following_themes_to_you_61,x1st_choice_62,x2nd_choice_63,x3rd_choice_64,x4th_choice,x5th_choice,how_important_are_the_following_themes_to_you_67,x1st_choice_68,x2nd_choice_69,x3rd_choice_70,what_is_your_age,what_gender_do_you_identify_with,what_is_your_highest_level_of_education,what_is_your_current_occupation,other_specify_75,please_select_all_that_apply_76,please_select_all_that_apply_farming_crops_for_household_77,please_select_all_that_apply_farming_crops_to_sell_78,please_select_all_that_apply_fishing_for_household_79,please_select_all_that_apply_fishing_to_sell_80,please_select_all_that_apply_livestock_for_household_81,please_select_all_that_apply_livestock_to_sell_82,what_was_your_occupation_before_the_dam_was_built,other_specify_84,please_select_all_that_apply_85,please_select_all_that_apply_farming_crops_for_household_86,please_select_all_that_apply_farming_crops_to_sell_87,please_select_all_that_apply_fishing_for_household_88,please_select_all_that_apply_fishing_to_sell_89,please_select_all_that_apply_livestock_for_household_90,please_select_all_that_apply_livestock_to_sell_91,in_the_last_year_how_many_months_have_you_received_a_salary_or_income,how_many_people_live_in_your_household,in_the_last_year_how_many_people_in_your_household_received_a_salary_or_other_source_of_income,which_of_these_do_you_have_in_your_household,which_of_these_do_you_have_in_your_household_bike,which_of_these_do_you_have_in_your_household_motorbike_scooter,which_of_these_do_you_have_in_your_household_car,which_of_these_do_you_have_in_your_household_tv,which_of_these_do_you_have_in_your_household_radio,which_of_these_do_you_have_in_your_household_computer,which_of_these_do_you_have_in_your_household_washing_machine,which_of_these_do_you_have_in_your_household_air_conditioning,which_of_these_do_you_have_in_your_household_fan,which_of_these_do_you_have_in_your_household_bed,which_of_these_do_you_have_in_your_household_table,which_of_these_do_you_have_in_your_household_chairs,which_of_these_do_you_have_in_your_household_gas_stove,which_of_these_do_you_have_in_your_household_microwave,which_of_these_do_you_have_in_your_household_fridge,which_of_these_do_you_have_in_your_household_freezer,which_of_these_do_you_have_in_your_household_pressure_cooker,which_of_these_do_you_have_in_your_household_internet,which_of_these_do_you_have_in_your_household_water,which_of_these_do_you_have_in_your_household_electricity,what_country_do_you_live_in,what_is_your_highest_level_of_formal_education,id,uuid,submission_time,validation_status,notes,status,submitted_by,version,tags,index
2022-11-08T10:31:48Z,2022-11-08T10:33:54Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Always,Rarely ,Mostly,Rarely ,Never,Rarely ,Rarely ,Sometimes,NA,Mostly,Not at all important,NA,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,"No, not compensated",Yes,NA,NA,NA,"Yes, always",NA,75%-100%,50%-74%,50%-74%,25%-49%,Very happy,The whole land,Six months before the construction work started,No,NA,NA,Not all,No change,Slightly more wildlife,Strongly disagree,NA,Access to clean energy,Livelihood and economy,Food security,Protect biodiversity and environment,Regulate climate change,NA,Protect biodiversity and environment,Food security ,Livelihood and economy,20,Man,No formal education,Farming,NA,Fishing (for household),0,0,1,0,0,0,Livestock,NA,Livestock (to sell),0,0,0,0,0,1,5,10,8,Bike Washing machine Chairs Pressure cooker Internet,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,NA,NA,198592667,04656f33-5c86-4439-8d8e-4d2e5ee692ac,2022-11-08T10:33:54Z,NA,NA,submitted_via_web,chrislittleboy,vA7vs9paSQhS75w8MmDFq8,NA,1
2022-11-08T10:39:40Z,2022-11-08T10:42:07Z,Local community,1,0,0,0,0,0,0,NA,Not affected (near to dam),NA,Yes,Yes,Very important,NA,Always,Always,Mostly,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Very important,NA,Always,Rarely,Mostly,Mostly,Mostly,Mostly,Mostly,Always,Mostly,Always,"Yes, full compensation as promised",NA,One-off payment,Very happy,Neutral,Rarely (more than 10 hours of power cut every day),NA,0%,1%-24%,0%,25%-49%,Very happy,The whole land,When the dam was initially proposed,Yes,No opportunity to participate,NA,"Yes, all",It's much more healthy,Slightly more wildlife,Agree,NA,Livelihood and economy,Food security,Access to clean energy,Regulate climate change,Protect biodiversity and environment,NA,Education,Gender equality and women's empowerment,Sustainable use of water and sanitation for all,34,Woman,Doctorate degree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,Bike Washing machine Fan Gas stove Freezer Water,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,NA,NA,198595223,b48697f7-d285-482c-b89a-ac535b8b18c7,2022-11-08T10:42:08Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,2
2022-11-08T11:19:13Z,2022-11-08T11:24:00Z,Other (please specify),0,0,0,0,0,0,1,test - BES Seminar,Other,test - BES Seminar,Yes,Yes,Very important,NA,Always,Mostly,Sometimes,Rarely ,Never,Rarely ,Sometimes,Mostly,Always,Mostly,Very important,NA,Never,Rarely,Sometimes,Mostly,Always,Mostly,Sometimes,Rarely,Never,Rarely,"Yes, full compensation as promised",NA,Both,Very unhappy,Quite happy,"Yes, but mostly power cut (more than five hours every day)",NA,50%-74%,25%-49%,1%-24%,0%,Neutral,Two-thirds of the land,Two years before the construction work started,No,NA,NA,"Yes, to some extent",It's slightly more healthy,Slightly less wildlife,Strongly disagree,NA,Livelihood and economy,Food security,Protect biodiversity and environment,Regulate climate change,Access to clean energy,NA,Livelihood and economy,Food security ,Education,99,Woman,No formal education,Farming,NA,Farming crops (for household),1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,4,Bike Computer Table Fridge,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,NA,NA,198607740,35dd7ad5-8916-4914-8a5f-57e627c1d2b7,2022-11-08T11:24:11Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,3
2022-11-08T11:21:13Z,2022-11-08T11:26:37Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Mostly,Sometimes,Always,Mostly,Sometimes,Mostly,Always,NA,Mostly,Always,Very important,NA,Always,Mostly,Mostly,Sometimes,Mostly,Always,Mostly,NA,Sometimes,Always,"No, not compensated",Yes,NA,NA,NA,Rarely (more than 10 hours of power cut every day),NA,1%-24%,25%-49%,1%-24%,25%-49%,Quite unhappy,Two-thirds of the land,Six months before the construction work started,No,NA,NA,"No, I wasn't listened to at all",It's slightly more damaged,Much less wildlife,Neither agree or disagree,NA,Access to clean energy,Protect biodiversity and environment,Food security,Regulate climate change,Livelihood and economy,NA,Food security ,Access to clean energy,Sustainable cities and human development,47,Man,Undergraduate degree,Livestock,NA,Fishing (for household) Livestock (for household),0,0,1,0,1,0,Livestock,NA,Livestock (for household) Livestock (to sell),0,0,0,0,1,1,12,4,2,Water Electricity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,198608790,193c4b2e-1056-4579-9cee-51d9f0a272cf,2022-11-08T11:26:51Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,4
2022-11-08T11:20:09Z,2022-11-08T11:27:24Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Very important,NA,Always,Sometimes,Always,Always,Mostly,Never,Mostly,Always,Never,Sometimes,Neutral,NA,Mostly,Rarely,Rarely,Sometimes,Sometimes,Mostly,Never,Rarely,Never,Rarely,"No, not compensated",Yes,NA,NA,NA,"No, no access to electricity",NA,0%,0%,50%-74%,0%,Very unhappy,Two-thirds of the land,Six months before the construction work started,No,NA,NA,I was not included in the decision-making process,It's much more damaged,Much less wildlife,Disagree,NA,Food security,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Food security ,Sustainable use of water and sanitation for all,Livelihood and economy,46,Man,No formal education,Fishing,NA,Farming crops (for household) Fishing (for household) Fishing (to sell),1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,1,Radio Bed Table Chairs Gas stove,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,NA,NA,198609095,d6faacd7-cc26-440f-a46a-d0b4905cea01,2022-11-08T11:27:35Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,5
2022-11-08T11:21:22Z,2022-11-08T11:30:31Z,Other (please specify),0,0,0,0,0,0,1,urban,Not affected (far from dam),NA,Yes,Yes,Important,NA,Always,Never,Never,Never,Never,Never,Sometimes,Never,Mostly,Mostly,Important,NA,Never,Never,Never,Never,Sometimes,Never,Never,Mostly,Mostly,Mostly,"No, not compensated",No,NA,NA,NA,"Yes, always",NA,25%-49%,0%,25%-49%,0%,Quite happy,The whole land,When the dam was initially proposed,No,NA,NA,Not all,It's slightly more healthy,No change,Neither agree or disagree,NA,Regulate climate change,Access to clean energy,Protect biodiversity and environment,Livelihood and economy,Food security,NA,Health and wellbeing,Sustainable use of water and sanitation for all,Regulate climate change,25,Man,Postgraduate degree,Other,researcher,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,Car TV Radio Computer Washing machine Bed Table Chairs Gas stove Microwave Fridge Freezer Pressure cooker Internet Water Electricity,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,198610366,3909213b-2869-4595-9c39-696967b60ca8,2022-11-08T11:30:42Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,6
2022-11-08T11:19:39Z,2022-11-08T11:32:29Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Always,Always,Always,Always,Sometimes,Never,Mostly,Mostly,Never,Sometimes,Very important,NA,Always,Always,Mostly,Mostly,Always,Mostly,Rarely,Rarely,Never,Never,"No, not compensated",Yes,NA,NA,NA,"Yes, but sometimes power cut (two hours every day)",NA,1%-24%,1%-24%,1%-24%,0%,Very unhappy,The whole land,Two years before the construction work started,No,NA,NA,"No, I wasn't listened to at all",It's much more damaged,Much less wildlife,Disagree,NA,Livelihood and economy,Food security,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Education,Access to clean energy,Peaceful and inclusive society,36,Woman,Primary School,Other,No occupation,NA,NA,NA,NA,NA,NA,NA,Shop owner / small business,NA,NA,NA,NA,NA,NA,NA,NA,2,8,1,Fan Table Chairs Fridge Pressure cooker Water Electricity,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,NA,NA,198611005,77c82530-a1ff-4367-bfca-f1ac656fe959,2022-11-08T11:32:40Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,7
2022-11-08T11:21:14Z,2022-11-08T11:32:41Z,Local community,1,0,0,0,0,0,0,NA,Affected but not displaced (nearby village),NA,Yes,Yes,Very important,NA,Always,Always,Always,Mostly,Mostly,Mostly,Mostly,Sometimes,Never,Never,Very important,NA,Always,Always,Mostly,Always,Mostly,Always,Mostly,Sometimes,Never,Never,"Yes, but still waiting for payment",NA,Regular payment,Neutral,Quite unhappy,"Yes, but sometimes power cut (two hours every day)",NA,50%-74%,50%-74%,50%-74%,50%-74%,Neutral,Two-thirds of the land,When the dam was initially proposed,No,NA,NA,"No, I wasn't listened to at all",It's slightly more damaged,No change,Neither agree or disagree,NA,Food security,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Food security ,Livelihood and economy,Protect biodiversity and environment,28,Man,Secondary School,Tourism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,5,2,Bike Motorbike/scooter Car TV Radio Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Electricity,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,NA,NA,198611070,54012df7-2a16-47c4-8328-778c9496f94d,2022-11-08T11:32:53Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,8
2022-11-08T11:20:43Z,2022-11-08T11:32:58Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Sometimes,Always,Mostly,Always,Always,Rarely ,Always,Mostly,Never,Never,Very important,NA,Always,Always,Mostly,Always,Sometimes,Mostly,Always,Always,Sometimes,Sometimes,"Yes, but still waiting for payment",NA,One-off payment,Very unhappy,Quite unhappy,"Yes, but sometimes power cut (two hours every day)",NA,50%-74%,75%-100%,25%-49%,0%,Neutral,The whole land,When the dam was initially proposed,No,NA,NA,"No, I wasn't listened to at all",It's much more damaged,Slightly less wildlife,Strongly disagree,NA,Food security,Livelihood and economy,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Livelihood and economy,Food security ,Better infrastructure,57,Man,No formal education,Farming,NA,Farming crops (for household) Farming crops (to sell) Livestock (for household),1,1,0,0,1,0,Fishing,NA,Fishing (for household) Fishing (to sell),0,0,1,1,0,0,6,25,2,Bike Radio Gas stove Fridge,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,198611196,72e2f7a4-d7ef-4e90-884d-2b7b0ca1d6df,2022-11-08T11:33:09Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,9
2022-11-08T11:22:12Z,2022-11-08T11:33:13Z,Local community,1,0,0,0,0,0,0,NA,Displaced,NA,Yes,Yes,Very important,NA,Sometimes,Mostly,Mostly,Mostly,Never,Never,Mostly,Sometimes,Never,Never,Important,NA,Sometimes,Sometimes,Mostly,Mostly,Always,Sometimes,Sometimes,Sometimes,Never,Never,"Yes, partial compensation",NA,One-off payment,Quite happy,Quite happy,"Yes, but mostly power cut (more than five hours every day)",NA,1%-24%,25%-49%,1%-24%,0%,Quite unhappy,The whole land,Two years before the construction work started,No,NA,NA,"No, I wasn't listened to at all",It's much more damaged,Slightly less wildlife,Disagree,NA,Livelihood and economy,Food security,Protect biodiversity and environment,Access to clean energy,Regulate climate change,NA,Livelihood and economy,Health and wellbeing,Food security ,33,Woman,No formal education,Farming,NA,Farming crops (for household) Farming crops (to sell) Fishing (for household) Livestock (for household),1,1,1,0,1,0,Livestock,NA,Farming crops (to sell) Livestock (to sell),0,1,0,0,0,1,6,4,2,Bike Bed Table Chairs Fridge Freezer Pressure cooker Water Electricity,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,NA,NA,198611339,e121089c-8b64-45a5-af74-9ac24917d0fb,2022-11-08T11:33:25Z,NA,NA,submitted_via_web,NA,vA7vs9paSQhS75w8MmDFq8,NA,10
