"start";"end";"Please select which group the respondent belongs to";"Please select which group the respondent belongs to/Local community";"Please select which group the respondent belongs to/Local government";"Please select which group the respondent belongs to/National government";"Please select which group the respondent belongs to/Regulator";"Please select which group the respondent belongs to/NGO/Civil Society";"Please select which group the respondent belongs to/Utility provider";"Please select which group the respondent belongs to/Other (please specify)";"Other (specify)";"How was the respondent affected by the construction of the dam?";"Other (specify)";"Do you understand the purpose of our research?";"Do you consent to participating in our research?";"How important is the river for you?";"How do you use the river?";"Drinking water";"Irrigation";"Washing and bathing";"Fishing for consumption";"Fishing to sell";"Tourism";"Cultural significance";"Transport";"Prevent climate change";"Protect biodiversity";"How important are forests for you?";"How do you use the forest?";"Firewood";"Collecting herbs / medicinal plants";"Food (animal)";"Food (fruits)";"Cultural significance";"Construction";"Livestock grazing";"Agriculture";"Prevent climate change";"Protect biodiversity";"Have you received any financial compensation following construction of the dam?";"Do you think you should have been compensated following construction of the dam?";"How did/will you receive this compensation?";"Are you happy with the amount of compensation?";"Are you happy with the timing of compensation?";"Do you have access to electricity?";"Do you receive any of these services from the dam?";"Electricity";"Irrigation";"Drinking water";"Employment";"How do you feel about the benefits you receive from the dam?";"Has any land that you own or rent been impacted by the dam?";"When did you hear about the construction of the dam?";"Did you have the opportunity to participate in decision-making?";"How did you participate in decision-making?";"How did you participate in decision-making? (other specify)";"Do you feel that decision-makers listened to you?";"Have you noticed a change in the environment around you following the construction of the dam?";"Have you noticed a change in the amount of wildlife around you following the construction of the dam?";"""Dam development has fairly balanced the needs for society, biodiversity conservation and energy generation"". Do you:";"How important are the following themes to you?";"1st choice";"2nd choice";"3rd choice";"4th choice";"5th choice";"How important are the following themes to you?";"1st choice";"2nd choice";"3rd choice";"What is your age?";"What gender do you identify with?";"What is your highest level of education?";"What is your current occupation?";"Other (specify)";"Please select all that apply";"Please select all that apply/Farming crops (for household)";"Please select all that apply/Farming crops (to sell)";"Please select all that apply/Fishing (for household)";"Please select all that apply/Fishing (to sell)";"Please select all that apply/Livestock (for household)";"Please select all that apply/Livestock (to sell)";"What was your occupation before the dam was built?";"Other (specify)";"Please select all that apply";"Please select all that apply/Farming crops (for household)";"Please select all that apply/Farming crops (to sell)";"Please select all that apply/Fishing (for household)";"Please select all that apply/Fishing (to sell)";"Please select all that apply/Livestock (for household)";"Please select all that apply/Livestock (to sell)";"In the last year, how many months have you received a salary or income?";"How many people live in your household?";"In the last year, how many people in your household received a salary or other source of income?";"Which of these do you have in your household?";"Which of these do you have in your household?/Bike";"Which of these do you have in your household?/Motorbike/scooter";"Which of these do you have in your household?/Car";"Which of these do you have in your household?/TV";"Which of these do you have in your household?/Radio";"Which of these do you have in your household?/Computer";"Which of these do you have in your household?/Washing machine";"Which of these do you have in your household?/Air conditioning";"Which of these do you have in your household?/Fan";"Which of these do you have in your household?/Bed";"Which of these do you have in your household?/Table";"Which of these do you have in your household?/Chairs";"Which of these do you have in your household?/Gas stove";"Which of these do you have in your household?/Microwave";"Which of these do you have in your household?/Fridge";"Which of these do you have in your household?/Freezer";"Which of these do you have in your household?/Pressure cooker";"Which of these do you have in your household?/Internet";"Which of these do you have in your household?/Water";"Which of these do you have in your household?/Electricity";"What country do you live in?";"What is your highest level of formal education?";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2022-11-08T10:31:48.910-00:00";"2022-11-08T10:33:54.539-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Always";"Rarely ";"Mostly";"Rarely ";"Never";"Rarely ";"Rarely ";"Sometimes";"";"Mostly";"Not at all important";"";"Never";"Never";"Never";"Never";"Never";"Never";"Rarely";"Never";"Never";"Never";"No, not compensated";"Yes";"";"";"";"Yes, always";"";"75%-100%";"50%-74%";"50%-74%";"25%-49%";"Very happy";"The whole land";"Six months before the construction work started";"No";"";"";"Not all";"No change";"Slightly more wildlife";"Strongly disagree";"";"Access to clean energy";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Regulate climate change";"";"Protect biodiversity and environment";"Food security ";"Livelihood and economy";"20";"Man";"No formal education";"Farming";"";"Fishing (for household)";"0";"0";"1";"0";"0";"0";"Livestock";"";"Livestock (to sell)";"0";"0";"0";"0";"0";"1";"5";"10";"8";"Bike Washing machine Chairs Pressure cooker Internet";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"";"";"198592667";"04656f33-5c86-4439-8d8e-4d2e5ee692ac";"2022-11-08T10:33:54";"";"";"submitted_via_web";"chrislittleboy";"vA7vs9paSQhS75w8MmDFq8";"";"1"
"2022-11-08T10:39:40.489-00:00";"2022-11-08T10:42:07.457-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Not affected (near to dam)";"";"Yes";"Yes";"Very important";"";"Always";"Always";"Mostly";"Never";"Sometimes";"Never";"Sometimes";"Never";"Sometimes";"Never";"Very important";"";"Always";"Rarely";"Mostly";"Mostly";"Mostly";"Mostly";"Mostly";"Always";"Mostly";"Always";"Yes, full compensation as promised";"";"One-off payment";"Very happy";"Neutral";"Rarely (more than 10 hours of power cut every day)";"";"0%";"1%-24%";"0%";"25%-49%";"Very happy";"The whole land";"When the dam was initially proposed";"Yes";"No opportunity to participate";"";"Yes, all";"It's much more healthy";"Slightly more wildlife";"Agree";"";"Livelihood and economy";"Food security";"Access to clean energy";"Regulate climate change";"Protect biodiversity and environment";"";"Education";"Gender equality and women's empowerment";"Sustainable use of water and sanitation for all";"34";"Woman";"Doctorate degree";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"4";"3";"Bike Washing machine Fan Gas stove Freezer Water";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"";"";"198595223";"b48697f7-d285-482c-b89a-ac535b8b18c7";"2022-11-08T10:42:08";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"2"
"2022-11-08T11:19:13.506-00:00";"2022-11-08T11:24:00.230-00:00";"Other (please specify)";"0";"0";"0";"0";"0";"0";"1";"test - BES Seminar";"Other";"test - BES Seminar";"Yes";"Yes";"Very important";"";"Always";"Mostly";"Sometimes";"Rarely ";"Never";"Rarely ";"Sometimes";"Mostly";"Always";"Mostly";"Very important";"";"Never";"Rarely";"Sometimes";"Mostly";"Always";"Mostly";"Sometimes";"Rarely";"Never";"Rarely";"Yes, full compensation as promised";"";"Both";"Very unhappy";"Quite happy";"Yes, but mostly power cut (more than five hours every day)";"";"50%-74%";"25%-49%";"1%-24%";"0%";"Neutral";"Two-thirds of the land";"Two years before the construction work started";"No";"";"";"Yes, to some extent";"It's slightly more healthy";"Slightly less wildlife";"Strongly disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Regulate climate change";"Access to clean energy";"";"Livelihood and economy";"Food security ";"Education";"99";"Woman";"No formal education";"Farming";"";"Farming crops (for household)";"1";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"12";"7";"4";"Bike Computer Table Fridge";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"";"";"198607740";"35dd7ad5-8916-4914-8a5f-57e627c1d2b7";"2022-11-08T11:24:11";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"3"
"2022-11-08T11:21:13.575-00:00";"2022-11-08T11:26:37.038-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Mostly";"Sometimes";"Always";"Mostly";"Sometimes";"Mostly";"Always";"";"Mostly";"Always";"Very important";"";"Always";"Mostly";"Mostly";"Sometimes";"Mostly";"Always";"Mostly";"";"Sometimes";"Always";"No, not compensated";"Yes";"";"";"";"Rarely (more than 10 hours of power cut every day)";"";"1%-24%";"25%-49%";"1%-24%";"25%-49%";"Quite unhappy";"Two-thirds of the land";"Six months before the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's slightly more damaged";"Much less wildlife";"Neither agree or disagree";"";"Access to clean energy";"Protect biodiversity and environment";"Food security";"Regulate climate change";"Livelihood and economy";"";"Food security ";"Access to clean energy";"Sustainable cities and human development";"47";"Man";"Undergraduate degree";"Livestock";"";"Fishing (for household) Livestock (for household)";"0";"0";"1";"0";"1";"0";"Livestock";"";"Livestock (for household) Livestock (to sell)";"0";"0";"0";"0";"1";"1";"12";"4";"2";"Water Electricity";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"";"";"198608790";"193c4b2e-1056-4579-9cee-51d9f0a272cf";"2022-11-08T11:26:51";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"4"
"2022-11-08T11:20:09.725-00:00";"2022-11-08T11:27:24.901-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Always";"Sometimes";"Always";"Always";"Mostly";"Never";"Mostly";"Always";"Never";"Sometimes";"Neutral";"";"Mostly";"Rarely";"Rarely";"Sometimes";"Sometimes";"Mostly";"Never";"Rarely";"Never";"Rarely";"No, not compensated";"Yes";"";"";"";"No, no access to electricity";"";"0%";"0%";"50%-74%";"0%";"Very unhappy";"Two-thirds of the land";"Six months before the construction work started";"No";"";"";"I was not included in the decision-making process";"It's much more damaged";"Much less wildlife";"Disagree";"";"Food security";"Livelihood and economy";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Food security ";"Sustainable use of water and sanitation for all";"Livelihood and economy";"46";"Man";"No formal education";"Fishing";"";"Farming crops (for household) Fishing (for household) Fishing (to sell)";"1";"0";"1";"1";"0";"0";"";"";"";"";"";"";"";"";"";"3";"5";"1";"Radio Bed Table Chairs Gas stove";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"";"";"198609095";"d6faacd7-cc26-440f-a46a-d0b4905cea01";"2022-11-08T11:27:35";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"5"
"2022-11-08T11:21:22.235-00:00";"2022-11-08T11:30:31.819-00:00";"Other (please specify)";"0";"0";"0";"0";"0";"0";"1";"urban";"Not affected (far from dam)";"";"Yes";"Yes";"Important";"";"Always";"Never";"Never";"Never";"Never";"Never";"Sometimes";"Never";"Mostly";"Mostly";"Important";"";"Never";"Never";"Never";"Never";"Sometimes";"Never";"Never";"Mostly";"Mostly";"Mostly";"No, not compensated";"No";"";"";"";"Yes, always";"";"25%-49%";"0%";"25%-49%";"0%";"Quite happy";"The whole land";"When the dam was initially proposed";"No";"";"";"Not all";"It's slightly more healthy";"No change";"Neither agree or disagree";"";"Regulate climate change";"Access to clean energy";"Protect biodiversity and environment";"Livelihood and economy";"Food security";"";"Health and wellbeing";"Sustainable use of water and sanitation for all";"Regulate climate change";"25";"Man";"Postgraduate degree";"Other";"researcher";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"1";"0";"Car TV Radio Computer Washing machine Bed Table Chairs Gas stove Microwave Fridge Freezer Pressure cooker Internet Water Electricity";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"";"";"198610366";"3909213b-2869-4595-9c39-696967b60ca8";"2022-11-08T11:30:42";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"6"
"2022-11-08T11:19:39.193-00:00";"2022-11-08T11:32:29.252-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Always";"Always";"Always";"Always";"Sometimes";"Never";"Mostly";"Mostly";"Never";"Sometimes";"Very important";"";"Always";"Always";"Mostly";"Mostly";"Always";"Mostly";"Rarely";"Rarely";"Never";"Never";"No, not compensated";"Yes";"";"";"";"Yes, but sometimes power cut (two hours every day)";"";"1%-24%";"1%-24%";"1%-24%";"0%";"Very unhappy";"The whole land";"Two years before the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Much less wildlife";"Disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Education";"Access to clean energy";"Peaceful and inclusive society";"36";"Woman";"Primary School";"Other";"No occupation";"";"";"";"";"";"";"";"Shop owner / small business";"";"";"";"";"";"";"";"";"2";"8";"1";"Fan Table Chairs Fridge Pressure cooker Water Electricity";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"1";"0";"1";"0";"1";"1";"";"";"198611005";"77c82530-a1ff-4367-bfca-f1ac656fe959";"2022-11-08T11:32:40";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"7"
"2022-11-08T11:21:14.525-00:00";"2022-11-08T11:32:41.958-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Affected but not displaced (nearby village)";"";"Yes";"Yes";"Very important";"";"Always";"Always";"Always";"Mostly";"Mostly";"Mostly";"Mostly";"Sometimes";"Never";"Never";"Very important";"";"Always";"Always";"Mostly";"Always";"Mostly";"Always";"Mostly";"Sometimes";"Never";"Never";"Yes, but still waiting for payment";"";"Regular payment";"Neutral";"Quite unhappy";"Yes, but sometimes power cut (two hours every day)";"";"50%-74%";"50%-74%";"50%-74%";"50%-74%";"Neutral";"Two-thirds of the land";"When the dam was initially proposed";"No";"";"";"No, I wasn't listened to at all";"It's slightly more damaged";"No change";"Neither agree or disagree";"";"Food security";"Livelihood and economy";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Food security ";"Livelihood and economy";"Protect biodiversity and environment";"28";"Man";"Secondary School";"Tourism";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"5";"2";"Bike Motorbike/scooter Car TV Radio Fan Bed Table Chairs Gas stove Fridge Pressure cooker Internet Electricity";"1";"1";"1";"1";"1";"0";"0";"0";"1";"1";"1";"1";"1";"0";"1";"0";"1";"1";"0";"1";"";"";"198611070";"54012df7-2a16-47c4-8328-778c9496f94d";"2022-11-08T11:32:53";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"8"
"2022-11-08T11:20:43.801-00:00";"2022-11-08T11:32:58.284-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Sometimes";"Always";"Mostly";"Always";"Always";"Rarely ";"Always";"Mostly";"Never";"Never";"Very important";"";"Always";"Always";"Mostly";"Always";"Sometimes";"Mostly";"Always";"Always";"Sometimes";"Sometimes";"Yes, but still waiting for payment";"";"One-off payment";"Very unhappy";"Quite unhappy";"Yes, but sometimes power cut (two hours every day)";"";"50%-74%";"75%-100%";"25%-49%";"0%";"Neutral";"The whole land";"When the dam was initially proposed";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Slightly less wildlife";"Strongly disagree";"";"Food security";"Livelihood and economy";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Livelihood and economy";"Food security ";"Better infrastructure";"57";"Man";"No formal education";"Farming";"";"Farming crops (for household) Farming crops (to sell) Livestock (for household)";"1";"1";"0";"0";"1";"0";"Fishing";"";"Fishing (for household) Fishing (to sell)";"0";"0";"1";"1";"0";"0";"6";"25";"2";"Bike Radio Gas stove Fridge";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"";"";"198611196";"72e2f7a4-d7ef-4e90-884d-2b7b0ca1d6df";"2022-11-08T11:33:09";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"9"
"2022-11-08T11:22:12.985-00:00";"2022-11-08T11:33:13.455-00:00";"Local community";"1";"0";"0";"0";"0";"0";"0";"";"Displaced";"";"Yes";"Yes";"Very important";"";"Sometimes";"Mostly";"Mostly";"Mostly";"Never";"Never";"Mostly";"Sometimes";"Never";"Never";"Important";"";"Sometimes";"Sometimes";"Mostly";"Mostly";"Always";"Sometimes";"Sometimes";"Sometimes";"Never";"Never";"Yes, partial compensation";"";"One-off payment";"Quite happy";"Quite happy";"Yes, but mostly power cut (more than five hours every day)";"";"1%-24%";"25%-49%";"1%-24%";"0%";"Quite unhappy";"The whole land";"Two years before the construction work started";"No";"";"";"No, I wasn't listened to at all";"It's much more damaged";"Slightly less wildlife";"Disagree";"";"Livelihood and economy";"Food security";"Protect biodiversity and environment";"Access to clean energy";"Regulate climate change";"";"Livelihood and economy";"Health and wellbeing";"Food security ";"33";"Woman";"No formal education";"Farming";"";"Farming crops (for household) Farming crops (to sell) Fishing (for household) Livestock (for household)";"1";"1";"1";"0";"1";"0";"Livestock";"";"Farming crops (to sell) Livestock (to sell)";"0";"1";"0";"0";"0";"1";"6";"4";"2";"Bike Bed Table Chairs Fridge Freezer Pressure cooker Water Electricity";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"";"";"198611339";"e121089c-8b64-45a5-af74-9ac24917d0fb";"2022-11-08T11:33:25";"";"";"submitted_via_web";"";"vA7vs9paSQhS75w8MmDFq8";"";"10"
